,image,question,answers,answer_type,answerable,most_confident_answer,extracted_answers
8,VizWiz_val_00000018.jpg,What is the computer doing?,"[{'answer': 'rebooting', 'answer_confidence': 'yes'}, {'answer': 'repair mode', 'answer_confidence': 'maybe'}, {'answer': 'unanswerable', 'answer_confidence': 'yes'}, {'answer': 'looks like rebooting', 'answer_confidence': 'yes'}, {'answer': 'bios', 'answer_confidence': 'yes'}, {'answer': 'booting up', 'answer_confidence': 'maybe'}, {'answer': 'loading', 'answer_confidence': 'maybe'}, {'answer': 'unanswerable', 'answer_confidence': 'no'}, {'answer': 'starting up', 'answer_confidence': 'yes'}, {'answer': 'loading', 'answer_confidence': 'yes'}]",other,1,rebooting,"['rebooting', 'repair mode', 'unanswerable', 'looks like rebooting', 'bios', 'booting up', 'loading', 'unanswerable', 'starting up', 'loading']"
11,VizWiz_val_00000023.jpg,Can you tell me what the error message is on the Windows screen?,"[{'answer': 'unsuitable image', 'answer_confidence': 'no'}, {'answer': 'starting windows', 'answer_confidence': 'yes'}, {'answer': 'starting windows', 'answer_confidence': 'yes'}, {'answer': 'no', 'answer_confidence': 'yes'}, {'answer': 'starting windows', 'answer_confidence': 'yes'}, {'answer': 'unanswerable', 'answer_confidence': 'no'}, {'answer': 'no error windows starting up', 'answer_confidence': 'yes'}, {'answer': 'no', 'answer_confidence': 'maybe'}, {'answer': 'starting windows', 'answer_confidence': 'maybe'}, {'answer': 'no error', 'answer_confidence': 'yes'}]",other,1,starting windows,"['unsuitable image', 'starting windows', 'starting windows', 'no', 'starting windows', 'unanswerable', 'no error windows starting up', 'no', 'starting windows', 'no error']"
15,VizWiz_val_00000028.jpg,Is this a woman?>,"[{'answer': 'yes', 'answer_confidence': 'yes'}, {'answer': 'unsuitable image', 'answer_confidence': 'no'}, {'answer': 'yes', 'answer_confidence': 'yes'}, {'answer': 'yes', 'answer_confidence': 'maybe'}, {'answer': 'yes', 'answer_confidence': 'yes'}, {'answer': 'yes', 'answer_confidence': 'yes'}, {'answer': 'unanswerable', 'answer_confidence': 'maybe'}, {'answer': 'yes', 'answer_confidence': 'yes'}, {'answer': 'unsuitable image', 'answer_confidence': 'yes'}, {'answer': 'yes', 'answer_confidence': 'yes'}]",yes/no,1,yes,"['yes', 'unsuitable image', 'yes', 'yes', 'yes', 'yes', 'unanswerable', 'yes', 'unsuitable image', 'yes']"
32,VizWiz_val_00000064.jpg,What is the person doing?,"[{'answer': 'looking at computer screen', 'answer_confidence': 'yes'}, {'answer': 'watching computer screen', 'answer_confidence': 'yes'}, {'answer': 'working on computer', 'answer_confidence': 'yes'}, {'answer': 'looking at computer', 'answer_confidence': 'yes'}, {'answer': 'sitting', 'answer_confidence': 'yes'}, {'answer': 'looking at computer', 'answer_confidence': 'yes'}, {'answer': 'sitting at computer', 'answer_confidence': 'maybe'}, {'answer': 'looking at screen', 'answer_confidence': 'yes'}, {'answer': 'computing', 'answer_confidence': 'maybe'}, {'answer': 'sitting at desktop computer on desk', 'answer_confidence': 'yes'}]",other,1,looking at computer screen,"['looking at computer screen', 'watching computer screen', 'working on computer', 'looking at computer', 'sitting', 'looking at computer', 'sitting at computer', 'looking at screen', 'computing', 'sitting at desktop computer on desk']"
35,VizWiz_val_00000072.jpg,what does the sky look like in this photograph,"[{'answer': 'cloudy', 'answer_confidence': 'yes'}, {'answer': 'blue sky some clouds', 'answer_confidence': 'yes'}, {'answer': 'blue few clouds', 'answer_confidence': 'yes'}, {'answer': 'blue', 'answer_confidence': 'yes'}, {'answer': 'clear', 'answer_confidence': 'yes'}, {'answer': 'sunny', 'answer_confidence': 'yes'}, {'answer': 'clear', 'answer_confidence': 'maybe'}, {'answer': 'clear', 'answer_confidence': 'yes'}, {'answer': 'cloudy', 'answer_confidence': 'yes'}, {'answer': 'partly cloudy sky', 'answer_confidence': 'yes'}]",other,1,cloudy,"['cloudy', 'blue sky some clouds', 'blue few clouds', 'blue', 'clear', 'sunny', 'clear', 'clear', 'cloudy', 'partly cloudy sky']"
38,VizWiz_val_00000078.jpg,"Can see what's on the screen, like is it a log in screen or anything like that? Thank you.","[{'answer': 'no', 'answer_confidence': 'yes'}, {'answer': 'error message', 'answer_confidence': 'maybe'}, {'answer': 'yes', 'answer_confidence': 'yes'}, {'answer': 'unsuitable image', 'answer_confidence': 'no'}, {'answer': 'unsuitable image', 'answer_confidence': 'yes'}, {'answer': 'no', 'answer_confidence': 'maybe'}, {'answer': 'unsuitable image', 'answer_confidence': 'no'}, {'answer': 'unsuitable image', 'answer_confidence': 'yes'}, {'answer': 'insert password reset disk dialog box', 'answer_confidence': 'yes'}, {'answer': 'yes', 'answer_confidence': 'yes'}]",yes/no,1,no,"['no', 'error message', 'yes', 'unsuitable image', 'unsuitable image', 'no', 'unsuitable image', 'unsuitable image', 'insert password reset disk dialog box', 'yes']"
112,VizWiz_val_00000217.jpg,What is the person doing?,"[{'answer': 'looking at computer monitor', 'answer_confidence': 'yes'}, {'answer': 'sitting at desktop facing away', 'answer_confidence': 'yes'}, {'answer': 'typing', 'answer_confidence': 'maybe'}, {'answer': 'on computer', 'answer_confidence': 'yes'}, {'answer': 'working on computer', 'answer_confidence': 'yes'}, {'answer': 'they on computer', 'answer_confidence': 'yes'}, {'answer': 'working on computer', 'answer_confidence': 'maybe'}, {'answer': 'watching video', 'answer_confidence': 'yes'}, {'answer': 'looking at computer', 'answer_confidence': 'yes'}, {'answer': 'looking at computer screen', 'answer_confidence': 'yes'}]",other,1,looking at computer monitor,"['looking at computer monitor', 'sitting at desktop facing away', 'typing', 'on computer', 'working on computer', 'they on computer', 'working on computer', 'watching video', 'looking at computer', 'looking at computer screen']"
205,VizWiz_val_00000387.jpg,What it is a?,"[{'answer': 'laptop lots cords', 'answer_confidence': 'yes'}, {'answer': 'unanswerable', 'answer_confidence': 'yes'}, {'answer': 'unknown', 'answer_confidence': 'maybe'}, {'answer': 'desk computer cables wires more', 'answer_confidence': 'maybe'}, {'answer': 'unanswerable', 'answer_confidence': 'yes'}, {'answer': 'computer cords accesories', 'answer_confidence': 'yes'}, {'answer': 'unanswerable', 'answer_confidence': 'maybe'}, {'answer': 'unanswerable', 'answer_confidence': 'no'}, {'answer': 'cords plugged into laptop', 'answer_confidence': 'maybe'}, {'answer': 'unanswerable', 'answer_confidence': 'yes'}]",other,1,laptop lots cords,"['laptop lots cords', 'unanswerable', 'unknown', 'desk computer cables wires more', 'unanswerable', 'computer cords accesories', 'unanswerable', 'unanswerable', 'cords plugged into laptop', 'unanswerable']"
209,VizWiz_val_00000394.jpg,What is this?,"[{'answer': 'fire hydrant by sign on grass near woods', 'answer_confidence': 'yes'}, {'answer': 'street sign fire hydrant', 'answer_confidence': 'yes'}, {'answer': 'fire hydrant water valve below sign next to', 'answer_confidence': 'yes'}, {'answer': 'side yard fire hydrant sign railroad tie wishing well', 'answer_confidence': 'yes'}, {'answer': 'fire hydrant', 'answer_confidence': 'yes'}, {'answer': 'fire hydrant', 'answer_confidence': 'maybe'}, {'answer': 'fire hydrant', 'answer_confidence': 'yes'}, {'answer': 'street sign fire hydrant', 'answer_confidence': 'maybe'}, {'answer': 'fire hydrant', 'answer_confidence': 'yes'}, {'answer': 'fire hydrant', 'answer_confidence': 'yes'}]",other,1,fire hydrant by sign on grass near woods,"['fire hydrant by sign on grass near woods', 'street sign fire hydrant', 'fire hydrant water valve below sign next to', 'side yard fire hydrant sign railroad tie wishing well', 'fire hydrant', 'fire hydrant', 'fire hydrant', 'street sign fire hydrant', 'fire hydrant', 'fire hydrant']"
210,VizWiz_val_00000397.jpg,What's on the screen?,"[{'answer': 'unsuitable image', 'answer_confidence': 'yes'}, {'answer': 'pop up window', 'answer_confidence': 'yes'}, {'answer': 'startup repair', 'answer_confidence': 'yes'}, {'answer': 'repair screen', 'answer_confidence': 'maybe'}, {'answer': 'windows cannot repair computer automatically', 'answer_confidence': 'yes'}, {'answer': 'request for windows restart', 'answer_confidence': 'yes'}, {'answer': 'information', 'answer_confidence': 'yes'}, {'answer': 'unsuitable image', 'answer_confidence': 'no'}, {'answer': 'windows cannot repair computer', 'answer_confidence': 'maybe'}, {'answer': 'unsuitable image', 'answer_confidence': 'yes'}]",other,1,unsuitable image,"['unsuitable image', 'pop up window', 'startup repair', 'repair screen', 'windows cannot repair computer automatically', 'request for windows restart', 'information', 'unsuitable image', 'windows cannot repair computer', 'unsuitable image']"
211,VizWiz_val_00000398.jpg,What's on the screen,"[{'answer': 'text', 'answer_confidence': 'yes'}, {'answer': 'website url', 'answer_confidence': 'yes'}, {'answer': 'please visit: wwwhpcom go techcenter', 'answer_confidence': 'maybe'}, {'answer': 'unanswerable', 'answer_confidence': 'yes'}, {'answer': 'visit: wwwhpcom go techcenter', 'answer_confidence': 'yes'}, {'answer': 'please visit: wwwhpcom go techcenter', 'answer_confidence': 'yes'}, {'answer': 'website', 'answer_confidence': 'yes'}, {'answer': 'unsuitable image', 'answer_confidence': 'no'}, {'answer': 'web address', 'answer_confidence': 'yes'}, {'answer': 'full computer screen not shown on image', 'answer_confidence': 'yes'}]",other,1,text,"['text', 'website url', 'please visit: wwwhpcom go techcenter', 'unanswerable', 'visit: wwwhpcom go techcenter', 'please visit: wwwhpcom go techcenter', 'website', 'unsuitable image', 'web address', 'full computer screen not shown on image']"
220,VizWiz_val_00000411.jpg,Can you tell me what this message says on my computer screen?,"[{'answer': 'repair message but too far for details', 'answer_confidence': 'yes'}, {'answer': 'repair details', 'answer_confidence': 'yes'}, {'answer': 'box word close', 'answer_confidence': 'yes'}, {'answer': 'startup repair', 'answer_confidence': 'maybe'}, {'answer': 'startup repair has finished need to click close button', 'answer_confidence': 'maybe'}, {'answer': 'no', 'answer_confidence': 'yes'}, {'answer': 'unsuitable image', 'answer_confidence': 'yes'}, {'answer': 'repair', 'answer_confidence': 'maybe'}, {'answer': 'unsuitable image', 'answer_confidence': 'no'}, {'answer': 'no', 'answer_confidence': 'maybe'}]",other,1,repair message but too far for details,"['repair message but too far for details', 'repair details', 'box word close', 'startup repair', 'startup repair has finished need to click close button', 'no', 'unsuitable image', 'repair', 'unsuitable image', 'no']"
1003,VizWiz_val_00001663.jpg,What is the title of this cd?,"[{'answer_confidence': 'yes', 'answer': 'jazz collection'}, {'answer_confidence': 'yes', 'answer': 'jazz collection'}, {'answer_confidence': 'yes', 'answer': 'jazz collection'}, {'answer_confidence': 'yes', 'answer': 'jazz collection'}, {'answer_confidence': 'yes', 'answer': 'jazz collection'}, {'answer_confidence': 'yes', 'answer': 'jazz collection'}, {'answer_confidence': 'yes', 'answer': 'jazz collection'}, {'answer_confidence': 'maybe', 'answer': 'jazz collection'}, {'answer_confidence': 'yes', 'answer': 'jazz collection'}, {'answer_confidence': 'yes', 'answer': 'jazz collection'}]",other,1,jazz collection,"['jazz collection', 'jazz collection', 'jazz collection', 'jazz collection', 'jazz collection', 'jazz collection', 'jazz collection', 'jazz collection', 'jazz collection', 'jazz collection']"
1004,VizWiz_val_00001667.jpg,What is this?,"[{'answer_confidence': 'yes', 'answer': 'glass'}, {'answer_confidence': 'yes', 'answer': 'wine'}, {'answer_confidence': 'yes', 'answer': 'glass'}, {'answer_confidence': 'yes', 'answer': 'wine'}, {'answer_confidence': 'yes', 'answer': 'wine tumbler'}, {'answer_confidence': 'yes', 'answer': 'wine'}, {'answer_confidence': 'yes', 'answer': 'glass'}, {'answer_confidence': 'maybe', 'answer': 'wine glass'}, {'answer_confidence': 'maybe', 'answer': 'glass'}, {'answer_confidence': 'yes', 'answer': 'drinking glass'}]",other,1,glass,"['glass', 'wine', 'glass', 'wine', 'wine tumbler', 'wine', 'glass', 'wine glass', 'glass', 'drinking glass']"
